,Video_Links,Length(Min)
0,https://www.youtube.com/watch?v=ua-CiDNNj30,352.13
1,https://www.youtube.com/watch?v=1z5-O7-5AXk,130.37
2,https://www.youtube.com/watch?v=EbU0pZZvmQc,94.75
3,https://www.youtube.com/watch?v=3GWuIzUl80c,52.83
4,https://www.youtube.com/watch?v=vg7BRC7wd0c,48.23
5,https://www.youtube.com/watch?v=PWxFklmiCpQ,35.82
6,https://www.youtube.com/watch?v=_7jpEFclMNY,21.73
7,https://www.youtube.com/watch?v=qWjx-XdZLjk,18.13
8,https://www.youtube.com/watch?v=sJgjRNhokPk,17.93
9,https://www.youtube.com/watch?v=F8i1npmBCT4,14.52
10,https://www.youtube.com/watch?v=O9nf1CqjGzI,13.02
11,https://www.youtube.com/watch?v=RYLzUmLnKk0,11.28
12,https://www.youtube.com/watch?v=5DsOU5pld6M,10.62
13,https://www.youtube.com/watch?v=HX2TabgkzHo,10.18
14,https://www.youtube.com/watch?v=J68XETxye7g,10.12
15,https://www.youtube.com/watch?v=xYcxfAfTH3Y,9.33
16,https://www.youtube.com/watch?v=DxnWXI1TksE,8.87
17,https://www.youtube.com/watch?v=mU9LZT1uPvc,8.0
18,https://www.youtube.com/watch?v=ewxhB6Bg_3s,7.93
19,https://www.youtube.com/watch?v=96Ie3XwFFx0,7.9
20,https://www.youtube.com/watch?v=fUpChfNN5Uo,7.78
21,https://www.youtube.com/watch?v=H0H8ANWgxq4,7.15
22,https://www.youtube.com/watch?v=YkxV08Cwvg8,4.72
23,https://www.youtube.com/watch?v=VB-TzshgdWM,4.63
24,https://www.youtube.com/watch?v=FsIjQPchdOw,4.43
25,https://www.youtube.com/watch?v=JDXTlgQbjbA,4.27
26,https://www.youtube.com/watch?v=EvYIT8-Hu3A,3.97
27,https://www.youtube.com/watch?v=7Dv8Ke5FJOM,2.45
28,https://www.youtube.com/watch?v=5UrXFpcTQTU,2.45
29,https://www.youtube.com/watch?v=zCDVUyq8lkw,0.0
